id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the primary purpose of a foundation in civil engineering?,To transfer loads to deeper soil layers,To enhance building aesthetics,To provide insulation,To increase building height,To transfer loads to deeper soil layers,Easy
2,LO1,Remembering,Which material is most commonly used in modern building construction?,Steel,Aluminum,Timber,Plastic,Steel,Easy
3,LO1,Remembering,What does the term "dead load" refer to in structural engineering?,Variable loads like wind,Weight of the structure itself,Live loads like occupants,Temporary construction loads,Weight of the structure itself,Easy
4,LO1,Remembering,What is the primary function of a retaining wall?,To hold back soil or water,To support roof structures,To provide thermal insulation,To reduce noise pollution,To hold back soil or water,Easy
5,LO1,Remembering,Which type of foundation is used for light structures on stable soil?,Strip foundation,Pad foundation,Raft foundation,Pile foundation,Pad foundation,Easy
6,LO1,Remembering,What is the purpose of a shear wall in a building?,Resist lateral forces,Support vertical loads,Enhance aesthetic appeal,Improve thermal efficiency,Resist lateral forces,Easy
7,LO1,Remembering,What is the primary component of concrete?,Cement,Sand,Gravel,Water,Cement,Easy
8,LO1,Remembering,What does the acronym BIM stand for in civil engineering?,Building Information Modeling,Basic Infrastructure Management,Bridge Inspection Method,Building Insulation Material,Building Information Modeling,Easy
9,LO1,Understanding,Why is reinforced concrete used in construction?,It combines tensile and compressive strength,It is lightweight,It is cheaper than timber,It is fireproof only,It combines tensile and compressive strength,Medium
10,LO1,Understanding,How does a shallow foundation differ from a deep foundation?,Transfers load to surface soil,Transfers load to deeper soil,Provides aesthetic support,Reduces construction time,Transfers load to surface soil,Medium
11,LO1,Understanding,What is the significance of the modulus of elasticity in materials?,Measures material stiffness,Indicates material density,Determines thermal conductivity,Calculates corrosion resistance,Measures material stiffness,Medium
12,LO1,Understanding,Why are expansion joints used in bridges?,To allow thermal movement,To increase load capacity,To reduce construction cost,To improve aesthetics,To allow thermal movement,Medium
13,LO1,Understanding,What role does a geotechnical investigation play in construction?,Assesses soil properties,Designs building facades,Estimates construction costs,Plans electrical systems,Assesses soil properties,Medium
