id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the primary function of a biomaterial in biomedical engineering?,To replace or augment biological tissues,To conduct electrical signals,To analyze genetic data,To measure blood pressure,To replace or augment biological tissues,Easy
2,LO1,Remembering,Which material is commonly used as a biocompatible implant?,Titanium,Glass,Wood,Plastic,Titanium,Easy
3,LO1,Remembering,What is the main purpose of biomechanics in biomedical engineering?,Study of forces on biological systems,Development of synthetic drugs,Analysis of chemical reactions,Design of electrical circuits,Study of forces on biological systems,Easy
4,LO1,Remembering,What does an electrocardiogram (ECG) primarily measure?,Heart electrical activity,Brain wave patterns,Blood glucose levels,Muscle contraction strength,Heart electrical activity,Easy
5,LO1,Remembering,What is the role of a stent in biomedical engineering?,Open blocked blood vessels,Measure body temperature,Deliver drugs locally,Monitor brain activity,Open blocked blood vessels,Easy
6,LO1,Remembering,Which imaging technique uses X-rays to visualize bones?,CT scan,Ultrasound,MRI,EEG,CT scan,Easy
7,LO1,Remembering,What is tissue engineering primarily concerned with?,Creating functional tissue replacements,Designing prosthetic limbs,Analyzing DNA sequences,Developing diagnostic software,Creating functional tissue replacements,Easy
8,LO1,Remembering,What is a pacemaker used for?,Regulating heart rhythm,Monitoring blood pressure,Stimulating muscle growth,Measuring oxygen levels,Regulating heart rhythm,Easy
9,LO1,Understanding,Why is biocompatibility crucial for biomaterials?,Ensures no adverse reactions in the body,Reduces manufacturing costs,Increases electrical conductivity,Simplifies surgical procedures,Ensures no adverse reactions in the body,Medium
10,LO1,Understanding,How does an MRI differ from a CT scan?,Uses magnetic fields instead of X-rays,Uses ultrasound waves,Measures electrical signals,Requires invasive probes,Uses magnetic fields instead of X-rays,Medium
11,LO1,Understanding,What role does collagen play in tissue engineering?,Provides structural support in scaffolds,Acts as an electrical conductor,Serves as a drug delivery agent,Measures biomechanical stress,Provides structural support in scaffolds,Medium
12,LO1,Understanding,Why are hydrogels used in biomedical applications?,High water content mimics tissues,High electrical resistance,Low cost production,Strong magnetic properties,High water content mimics tissues,Medium
13,LO1,Understanding,What is the primary advantage of using titanium in implants?,Corrosion resistance and strength,High flexibility,Low density,Strong magnetic response,Corrosion resistance and strength,Medium
14,LO1,Understanding,How does a biosignal like an EMG contribute to diagnostics?,Measures muscle electrical activity,Tracks blood flow,Analyzes chemical composition,Detects bone fractures,Measures muscle electrical activity,Medium
15,LO1,Understanding,What is the significance of porosity in biomaterials?,Allows cell growth and nutrient diffusion,Increases material density,Reduces thermal conductivity,Enhances electrical insulation,Allows cell growth and nutrient diffusion,Medium
16,LO1,Understanding,Why are ceramics used in some orthopedic implants?,High wear resistance,High electrical conductivity,Low cost,Flexible structure,High wear resistance,Medium
17,LO1,Applying,How would you select a biomaterial for a hip implant?,Prioritize biocompatibility and durability,Choose based on color,Select for electrical conductivity,Favor low-cost materials,Prioritize biocompatibility and durability,Hard
18,LO1,Applying,What design consideration is critical for a prosthetic heart valve?,Mimicking natural valve hemodynamics,Maximizing weight,Increasing electrical resistance,Reducing size only,Mimicking natural valve hemodynamics,Hard
19,LO1,Applying,How would a biomedical engineer use biomechanics to design a knee brace?,Analyze joint forces and motion,Measure brain activity,Assess chemical stability,Optimize thermal properties,Analyze joint forces and motion,Hard
20,LO1,Analyzing,Why might a polymer degrade in a biological environment?,Due to enzymatic activity,Because of high conductivity,From excessive rigidity,Due to low temperature,Due to enzymatic activity,Hard
21,LO1,Analyzing,What challenge arises when integrating biosensors with tissue?,Ensuring biocompatibility,Maximizing weight,Increasing opacity,Reducing flexibility,Ensuring biocompatibility,Hard
22,LO1,Evaluating,Which imaging modality is best for soft tissue visualization?,MRI,CT scan,Ultrasound,X-ray,MRI,Hard
23,LO1,Analyzing,Why might a stent fail in a patient?,Due to thrombus formation,Because of high flexibility,From excessive weight,Due to electrical interference,Due to thrombus formation,Hard
24,LO1,Evaluating,Which material property is most critical for a long-term implant?,Biocompatibility,High thermal conductivity,Low density,Magnetic susceptibility,Biocompatibility,Hard
25,LO2,Remembering,What is the primary goal of medical imaging in biomedical engineering?,Visualize internal structures,Regulate heart rate,Deliver drugs,Analyze genetic code,Visualize internal structures,Easy
