id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the primary focus of thermodynamics in chemical engineering?,Energy transformations and equilibrium,Fluid flow dynamics,Mass transfer rates,Chemical reaction kinetics,Energy transformations and equilibrium,Easy
2,LO1,Remembering,Which law states that energy cannot be created or destroyed?,First Law of Thermodynamics,Second Law of Thermodynamics,Third Law of Thermodynamics,Law of Mass Conservation,First Law of Thermodynamics,Easy
3,LO1,Remembering,What is the unit of enthalpy?,Joule per kilogram,Watt per meter,Newton per second,Pascal per cubic meter,Joule per kilogram,Easy
4,LO1,Remembering,What does Gibbs free energy determine?,Reaction spontaneity,Fluid viscosity,Mass flow rate,Heat transfer coefficient,Reaction spontaneity,Easy
5,LO1,Remembering,What is a state function in thermodynamics?,Property independent of path,Property dependent on time,Property based on flow rate,Property tied to reaction rate,Property independent of path,Easy
6,LO1,Remembering,What is the ideal gas law equation?,PV = nRT,F = ma,Q = mCΔT,E = mc²,PV = nRT,Easy
7,LO1,Remembering,What is the purpose of a heat exchanger?,Transfer heat between fluids,Separate chemical compounds,Increase reaction rates,Measure fluid velocity,Transfer heat between fluids,Easy
8,LO1,Remembering,What does the second law of thermodynamics state?,Entropy of an isolated system increases,Energy is always conserved,Heat flows without work,Systems reach absolute zero,Entropy of an isolated system increases,Easy
9,LO1,Understanding,Why is enthalpy important in chemical processes?,Measures energy changes,Calculates fluid velocity,Determines reaction rate,Controls mass transfer,Measures energy changes,Medium
10,LO1,Understanding,How does the first law of thermodynamics apply to a closed system?,Energy is conserved,Entropy always decreases,Heat equals work,Mass remains constant,Energy is conserved,Medium
11,LO1,Understanding,What is the significance of Gibbs free energy in reactions?,Predicts spontaneity,Measures fluid density,Calculates heat capacity,Determines flow rate,Predicts spontaneity,Medium
12,LO1,Understanding,Why is the ideal gas law limited in real processes?,Assumes no intermolecular forces,Requires high pressure,Applies only to liquids,Ignores temperature changes,Assumes no intermolecular forces,Medium
13,LO1,Understanding,How does a heat exchanger improve process efficiency?,Minimizes energy loss,Increases reaction speed,Reduces fluid viscosity,Enhances mass transfer,Minimizes energy loss,Medium
14,LO1,Understanding,What role does entropy play in thermodynamics?,Measures system disorder,Calculates fluid flow,Determines reaction yield,Controls heat transfer,Measures system disorder,Medium
15,LO1,Understanding,Why is a state function useful in process design?,Simplifies calculations,Increases reaction rates,Reduces fluid friction,Enhances separation efficiency,Simplifies calculations,Medium
16,LO1,Understanding,How does the second law of thermodynamics limit processes?,Prevents 100% efficiency,Ensures constant energy,Reduces mass flow,Increases reaction rates,Prevents 100% efficiency,Medium
17,LO1,Applying,How would you calculate the enthalpy change for a reaction?,Use ΔH = ΣH_products - ΣH_reactants,Measure fluid velocity,Calculate mass flow rate,Determine heat transfer coefficient,Use ΔH = ΣH_products - ΣH_reactants,Hard
18,LO1,Applying,What factor is critical in designing a heat exchanger?,Maximizing heat transfer rate,Minimizing fluid viscosity,Increasing reaction yield,Reducing system pressure,Maximizing heat transfer rate,Hard
19,LO1,Applying,How would you use Gibbs free energy to predict a reaction?,Check if ΔG < 0,Measure fluid density,Calculate flow rate,Determine heat capacity,Check if ΔG < 0,Hard
20,LO1,Analyzing,Why might a thermodynamic process be inefficient?,High entropy generation,Low fluid velocity,High reaction rate,Low mass transfer,High entropy generation,Hard
21,LO1,Analyzing,What challenge arises in applying the ideal gas law to real gases?,Intermolecular forces,Low temperature only,High flow rates,Excessive pressure,Intermolecular forces,Hard
22,LO1,Evaluating,Which property is most critical for a heat exchanger design?,Thermal conductivity,Fluid density,Reaction rate,Mass flow rate,Thermal conductivity,Hard
23,LO1,Analyzing,Why might a process violate the second law of thermodynamics?,Decreasing entropy in an isolated system,Conserving energy,Increasing mass flow,Reducing heat transfer,Decreasing entropy in an isolated system,Hard
24,LO1,Evaluating,Which thermodynamic model is best for high-pressure systems?,Van der Waals equation,Ideal gas law,Bernoulli’s equation,Newton’s law,Van der Waals equation,Hard
25,LO2,Remembering,What is the primary goal of chemical reaction engineering?,Optimize reaction conditions,Design fluid pipelines,Analyze heat transfer,Measure mass flow rates,Optimize reaction conditions,Easy
26,LO2,Remembering,What does a catalyst do in a chemical reaction?,Lowers activation energy,Increases temperature,Reduces pressure,Changes equilibrium constant,Lowers activation energy,Easy
27,LO2,Remembering,What is a first-order reaction?,Rate depends on one reactant,Rate is constant,Rate depends on temperature,Rate is zero,Rate depends on one reactant,Easy
28,LO2,Remembering,What is the Arrhenius equation used for?,Calculate reaction rate constant,Measure fluid velocity,Determine heat transfer,Analyze mass transfer,Calculate reaction rate constant,Easy
29,LO2,Remembering,What is a batch reactor?,Processes fixed volume,Operates continuously,Separates mixtures,Heats fluids,Processes fixed volume,Easy
30,LO2,Remembering,What does a plug flow reactor (PFR) assume?,Uniform flow with no mixing,Axial mixing only,Constant temperature,Batch processing,Uniform flow with no mixing,Easy
31,LO2,Remembering,What is the purpose of a rate law?,Describes reaction kinetics,Calculates fluid flow,Measures heat transfer,Determines phase equilibrium,Describes reaction kinetics,Easy
32,LO2,Remembering,What is a key feature of a continuous stirred-tank reactor (CSTR)?,Complete mixing,Fixed volume,No mixing,High pressure,Complete mixing,Easy
33,LO2,Understanding,Why is a catalyst critical in industrial reactions?,Increases reaction rate,Reduces fluid viscosity,Increases system pressure,Decreases heat transfer,Increases reaction rate,Medium
34,LO2,Understanding,How does a first-order reaction differ from a second-order reaction?,Depends on one vs. two reactants,Has constant rate,Requires high pressure,Ignores temperature,Depends on one vs. two reactants,Medium
35,LO2,Understanding,What is the benefit of using a PFR over a CSTR?,Higher conversion for plug flow,Lower cost,Complete mixing,Batch processing,Higher conversion for plug flow,Medium
36,LO2,Understanding,Why is the Arrhenius equation important?,Relates rate to temperature,Measures fluid flow,Calculates heat capacity,Determines mass transfer,Relates rate to temperature,Medium
37,LO2,Understanding,How does a batch reactor differ from a CSTR?,Fixed vs. continuous processing,High vs. low pressure,Hot vs. cold operation,Liquid vs. gas phase,Fixed vs. continuous processing,Medium
38,LO2,Understanding,What role does a rate law play in reactor design?,Predicts reaction behavior,Calculates fluid density,Measures heat loss,Controls mass flow,Predicts reaction behavior,Medium
39,LO2,Understanding,Why is residence time important in a PFR?,Affects reaction conversion,Reduces fluid viscosity,Increases heat transfer,Controls system pressure,Affects reaction conversion,Medium
40,LO2,Understanding,What is the advantage of a CSTR in large-scale production?,Uniform product output,High pressure operation,Low cost materials,Minimal mixing,Uniform product output,Medium
41,LO2,Applying,How would you select a reactor for a fast reaction?,Choose a PFR for high conversion,Use a batch reactor,Select a high-pressure system,Opt for minimal mixing,Choose a PFR for high conversion,Hard
42,LO2,Applying,What factor is critical in catalyst design?,High surface area,Low density,High viscosity,Low reaction rate,High surface area,Hard
43,LO2,Applying,How would you use the Arrhenius equation in reactor design?,Estimate rate constant with temperature,Calculate fluid velocity,Measure heat transfer,Determine mass flow,Estimate rate constant with temperature,Hard
44,LO2,Analyzing,Why might a reaction yield be low in a CSTR?,Due to excessive mixing,Because of high pressure,From low temperature,Due to small reactor size,Due to excessive mixing,Hard
45,LO2,Analyzing,What challenge arises in scaling up a batch reactor?,Maintaining uniform conditions,Reducing fluid viscosity,Increasing heat loss,Lowering reaction rate,Maintaining uniform conditions,Hard
46,LO2,Evaluating,Which reactor is best for a highly exothermic reaction?,CSTR with cooling,Batch reactor,PFR without cooling,High-pressure reactor,CSTR with cooling,Hard
47,LO2,Analyzing,Why might a catalyst lose effectiveness?,Due to surface fouling,Because of low pressure,From high flow rates,Due to excessive mixing,Due to surface fouling,Hard
48,LO2,Evaluating,Which factor is most critical for PFR performance?,Residence time,Reactor weight,Fluid density,Heat capacity,Residence time,Hard
49,LO3,Remembering,What is the primary goal of transport phenomena in chemical engineering?,Study fluid, heat, and mass transfer,Design chemical reactors,Analyze reaction kinetics,Measure thermodynamic properties,Study fluid, heat, and mass transfer,Easy
50,LO3,Remembering,What does Navier-Stokes equation describe?,Fluid motion,Reaction rates,Heat transfer,Mass diffusion,Fluid motion,Easy
51,LO3,Remembering,What is Fick’s first law used for?,Mass diffusion,Fluid flow,Heat conduction,Reaction kinetics,Mass diffusion,Easy
52,LO3,Remembering,What is the purpose of a Reynolds number?,Characterize flow type,Measure reaction rate,Calculate heat transfer,Determine phase equilibrium,Characterize flow type,Easy
