id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the primary function of a resistor in a circuit?,Limit current flow,Store electrical energy,Amplify voltage,Generate magnetic fields,Limit current flow,Easy
2,LO1,Remembering,What does Ohm’s Law state?,V = IR,P = VI,E = mc²,F = ma,V = IR,Easy
3,LO1,Remembering,What is the unit of capacitance?,Farad,Ohm,Watt,Henry,Farad,Easy
4,LO1,Remembering,What is the purpose of a capacitor in a circuit?,Store electrical charge,Regulate current,Amplify signals,Convert AC to DC,Store electrical charge,Easy
5,LO1,Remembering,What does a diode primarily do?,Allow current in one direction,Store energy,Increase voltage,Generate heat,Allow current in one direction,Easy
6,LO1,Remembering,What is the SI unit of electrical power?,Watt,Joule,Ampere,Volt,Watt,Easy
7,LO1,Remembering,What is a series circuit?,Components share one path,Components have multiple paths,Components are isolated,Components share voltage only,Components share one path,Easy
8,LO1,Remembering,What is the role of an inductor?,Store energy in a magnetic field,Limit current flow,Amplify signals,Convert DC to AC,Store energy in a magnetic field,Easy
9,LO1,Understanding,Why is Ohm’s Law important in circuit analysis?,Relates voltage, current, resistance,Calculates power loss,Measures magnetic fields,Determines capacitance,Relates voltage, current, resistance,Medium
10,LO1,Understanding,How does a capacitor differ from a resistor?,Stores charge vs. limits current,Amplifies signals,Converts AC to DC,Generates heat,Stores charge vs. limits current,Medium
11,LO1,Understanding,What is the significance of a diode in rectification?,Converts AC to DC,Increases voltage,Reduces resistance,Stores energy,Converts AC to DC,Medium
12,LO1,Understanding,Why is a series circuit different from a parallel circuit?,Single vs. multiple current paths,High vs. low resistance,AC vs. DC operation,Fixed vs. variable voltage,Single vs. multiple current paths,Medium
13,LO1,Understanding,What role does an inductor play in AC circuits?,Opposes current changes,Increases voltage,Reduces capacitance,Amplifies signals,Opposes current changes,Medium
14,LO1,Understanding,Why is capacitance critical in filter circuits?,Controls frequency response,Increases current flow,Reduces power loss,Generates magnetic fields,Controls frequency response,Medium
15,LO1,Understanding,How does Kirchhoff’s Voltage Law apply to circuits?,Sum of voltages equals zero,Sum of currents equals zero,Voltage increases with resistance,Current is constant,Sum of voltages equals zero,Medium
16,LO1,Understanding,What is the benefit of using a parallel circuit?,Maintains function if one path fails,Reduces total resistance,Increases voltage drop,Simplifies current flow,Maintains function if one path fails,Medium
17,LO1,Applying,How would you calculate the total resistance in a series circuit?,Sum individual resistances,Multiply resistances,Divide resistances,Average resistances,Sum individual resistances,Hard
18,LO1,Applying,What factor is critical when selecting a capacitor for a filter?,Capacitance value,Resistance value,Voltage amplification,Inductance level,Capacitance value,Hard
19,LO1,Applying,How would you use Kirchhoff’s Current Law in a circuit?,Sum currents at a node,Calculate total voltage,Measure resistance,Determine power loss,Sum currents at a node,Hard
20,LO1,Analyzing,Why might a circuit fail due to a faulty diode?,Reverse current flow,Excessive capacitance,High inductance,Low voltage drop,Reverse current flow,Hard
21,LO1,Analyzing,What challenge arises in designing a series circuit?,Voltage division,Current overload,Capacitance mismatch,Inductance failure,Voltage division,Hard
22,LO1,Evaluating,Which component is best for smoothing AC signals?,Capacitor,Resistor,Diode,Inductor,Capacitor,Hard
23,LO1,Analyzing,Why is a high resistance problematic in a power circuit?,Increases power loss,Reduces current flow,Increases voltage gain,Lowers capacitance,Increases power loss,Hard
24,LO1,Evaluating,Which law is most critical for analyzing complex circuits?,Kirchhoff’s Laws,Ohm’s Law,Faraday’s Law,Newton’s Law,Kirchhoff’s Laws,Hard
25,LO2,Remembering,What is the primary function of a transistor?,Amplify or switch signals,Store electrical charge,Regulate voltage,Generate magnetic fields,Amplify or switch signals,Easy
26,LO2,Remembering,What does a BJT stand for?,Bipolar Junction Transistor,Basic Junction Terminal,Binary Junction Transistor,Balanced Junction Transformer,Bipolar Junction Transistor,Easy
27,LO2,Remembering,What is the role of an operational amplifier (op-amp)?,Amplify voltage signals,Convert AC to DC,Store magnetic energy,Limit current flow,Amplify voltage signals,Easy
28,LO2,Remembering,What is a MOSFET used for?,Switching and amplification,Filtering signals,Storing charge,Regulating temperature,Switching and amplification,Easy
29,LO2,Remembering,What does a logic gate do?,Perform binary operations,Measure voltage drop,Store electrical energy,Convert DC to AC,Perform binary operations,Easy
30,LO2,Remembering,What is the purpose of a rectifier circuit?,Convert AC to DC,Amplify signals,Reduce resistance,Store charge,Convert AC to DC,Easy
31,LO2,Remembering,What is the unit of gain in an amplifier?,Decibel,Watt,Ohm,Farad,Decibel,Easy
32,LO2,Remembering,What does an AND gate output?,High if all inputs are high,High if any input is high,Low if all inputs are high,Low if any input is high,High if all inputs are high,Easy
33,LO2,Understanding,Why is a transistor critical in electronics?,Enables signal control,Reduces circuit resistance,Increases capacitance,Converts AC to DC,Enables signal control,Medium
34,LO2,Understanding,How does a BJT differ from a MOSFET?,Current vs. voltage control,High vs. low resistance,AC vs. DC operation,Analog vs. digital signals,Current vs. voltage control,Medium
35,LO2,Understanding,What is the advantage of an op-amp in circuits?,High gain and versatility,Low power consumption,High capacitance,Low frequency response,High gain and versatility,Medium
36,LO2,Understanding,Why is a rectifier used in power supplies?,Converts AC to DC,Increases voltage gain,Reduces current flow,Amplifies signals,Converts AC to DC,Medium
37,LO2,Understanding,How does an AND gate differ from an OR gate?,Requires all vs. any high inputs,High vs. low resistance,Analog vs. digital output,AC vs. DC operation,Requires all vs. any high inputs,Medium
38,LO2,Understanding,What role does a MOSFET play in digital circuits?,Efficient switching,Signal filtering,Charge storage,Voltage regulation,Efficient switching,Medium
39,LO2,Understanding,Why is gain important in amplifiers?,Measures signal amplification,Reduces power loss,Increases resistance,Controls frequency response,Measures signal amplification,Medium
40,LO2,Understanding,What is the benefit of using logic gates in circuits?,Enables digital processing,Increases analog signals,Reduces capacitance,Controls temperature,Enables digital processing,Medium
41,LO2,Applying,How would you design an amplifier for audio signals?,Use an op-amp with high gain,Select a high-resistance diode,Use a low-capacitance inductor,Apply a rectifier circuit,Use an op-amp with high gain,Hard
42,LO2,Applying,What factor is critical in selecting a MOSFET for switching?,Low on-resistance,High capacitance,Low voltage gain,High inductance,Low on-resistance,Hard
43,LO2,Applying,How would you use a logic gate for a control system?,Implement binary decision logic,Increase signal frequency,Reduce circuit resistance,Store electrical charge,Implement binary decision logic,Hard
44,LO2,Analyzing,Why might an amplifier circuit fail?,Due to improper biasing,Because of high capacitance,From low resistance,Due to excessive voltage gain,Due to improper biasing,Hard
45,LO2,Analyzing,What challenge arises in designing digital circuits?,Signal timing issues,High power loss,Low frequency response,Excessive capacitance,Signal timing issues,Hard
46,LO2,Evaluating,Which component is best for high-speed switching?,MOSFET,BJT,Diode,Capacitor,MOSFET,Hard
