id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Remembering,What is the primary goal of strategic management in an MBA curriculum?,Align organizational goals with market opportunities,Reduce production costs,Design marketing campaigns,Analyze financial statements,Align organizational goals with market opportunities,Easy
2,LO1,Remembering,Which framework analyzes external business environments?,PESTEL,Balance sheet,SWOT,Income statement,PESTEL,Easy
3,LO1,Remembering,What does SWOT stand for in business strategy?,Strengths, Weaknesses, Opportunities, Threats,Systems, Workflows, Operations, Targets,Strategy, Workforce, Output, Trends,Skills, Wages, Objectives, Tools,Strengths, Weaknesses, Opportunities, Threats,Easy
4,LO1,Remembering,What is a key component of a business mission statement?,Core values and purpose,Financial projections,Marketing tactics,Operational processes,Core values and purpose,Easy
5,LO1,Remembering,What is Porter’s Five Forces used for?,Assess industry competitiveness,Calculate profit margins,Design organizational charts,Develop advertising campaigns,Assess industry competitiveness,Easy
6,LO1,Remembering,What is the main purpose of a vision statement?,Guide long-term goals,Track daily operations,Measure employee performance,Analyze market trends,Guide long-term goals,Easy
7,LO1,Remembering,What does a value chain analysis evaluate?,Business activities for efficiency,Employee satisfaction,Market share growth,Advertising effectiveness,Business activities for efficiency,Easy
8,LO1,Remembering,What is a core competency in business strategy?,Unique organizational strength,Financial forecasting,Product pricing,Supply chain logistics,Unique organizational strength,Easy
9,LO1,Understanding,Why is PESTEL analysis important for strategic planning?,Identifies external macro-environmental factors,Reduces operational costs,Improves employee retention,Enhances product design,Identifies external macro-environmental factors,Medium
10,LO1,Understanding,How does SWOT analysis aid decision-making?,Evaluates internal and external factors,Focuses only on financial data,Simplifies marketing strategies,Reduces supply chain risks,Evaluates internal and external factors,Medium
11,LO1,Understanding,What is the benefit of using Porter’s Five Forces?,Understands competitive dynamics,Increases production efficiency,Improves employee morale,Streamlines financial reporting,Understands competitive dynamics,Medium
12,LO1,Understanding,Why is a mission statement critical for a company?,Guides organizational purpose,Calculates profit margins,Designs marketing campaigns,Manages inventory levels,Guides organizational purpose,Medium
13,LO1,Understanding,How does a value chain analysis improve efficiency?,Identifies cost-saving opportunities,Increases market share,Enhances product branding,Reduces employee turnover,Identifies cost-saving opportunities,Medium
14,LO1,Understanding,What role does a vision statement play in strategy?,Inspires long-term direction,Tracks daily sales,Manages operational costs,Analyzes competitor pricing,Inspires long-term direction,Medium
15,LO1,Understanding,Why are core competencies valuable in strategy?,Leverage unique strengths,Reduce production time,Increase advertising budget,Simplify financial reporting,Leverage unique strengths,Medium
16,LO1,Understanding,How does a balanced scorecard measure performance?,Tracks multiple strategic metrics,Focuses only on profits,Analyzes employee satisfaction,Reduces operational risks,Tracks multiple strategic metrics,Medium
17,LO1,Applying,How would you use SWOT analysis to enter a new market?,Identify strengths and opportunities,Calculate financial ratios,Design advertising campaigns,Reduce employee costs,Identify strengths and opportunities,Hard
18,LO1,Applying,What strategy would you apply using Porter’s Five Forces in a competitive industry?,Differentiate to reduce rivalry,Increase production costs,Lower employee wages,Simplify supply chains,Differentiate to reduce rivalry,Hard
19,LO1,Applying,How would you develop a mission statement for a startup?,Align with core values and purpose,Focus on short-term profits,Copy competitor statements,Reduce operational details,Align with core values and purpose,Hard
20,LO1,Analyzing,Why might a strategy fail due to poor PESTEL analysis?,Missed external risks,Inaccurate financial forecasts,Low employee morale,Weak marketing campaigns,Missed external risks,Hard
21,LO1,Analyzing,What challenge arises when ignoring value chain analysis?,Inefficient operations,Reduced market share,Weak branding,Limited employee growth,Inefficient operations,Hard
22,LO1,Evaluating,Which framework is best for assessing industry competition?,Porter’s Five Forces,SWOT,PESTEL,Balance sheet,Porter’s Five Forces,Hard
23,LO1,Analyzing,Why is a weak vision statement problematic?,Lacks long-term direction,Reduces daily sales,Increases operational costs,Weakens competitor analysis,Lacks long-term direction,Hard
