id,learningOutcome,bloomsLevel,question,option1,option2,option3,option4,correctAnswer,level
1,LO1,Applying,Which metal is used in the manufacturing of aircrafts due to its light weight?,Iron,Copper,Aluminum,Lead,Aluminum,Easy
2,LO1,Creating,Which cycle is used in steam power plants?,Otto,Rankine,Diesel,Carnot,Rankine,Easy
3,LO1,Understanding,Which process increases the hardness of metals?,Tempering,Annealing,Hardening,Quenching,Hardening,Easy
4,LO1,Analyzing,Which unit is used to measure force?,Joule,Watt,Newton,Pascal,Newton,Easy
5,LO1,Analyzing,What is the purpose of a flywheel?,Generate electricity,Store kinetic energy,Reduce noise,Transfer heat,Store kinetic energy,Easy
6,LO1,Evaluating,What is the SI unit of pressure?,Pascal,Bar,Newton,Joule,Pascal,Easy
7,LO1,Creating,What kind of engine uses spark plugs?,Diesel,Steam,Petrol,Jet,Petrol,Easy
8,LO1,Analyzing,What does a thermodynamic system exchange with its surroundings?,Energy and matter,Energy only,Matter only,Nothing,Energy and matter,Easy
9,LO1,Applying,Which law states that stress is proportional to strain?,Newton's Law,Hooke's Law,Pascal’s Law,Bernoulli’s Law,Hooke's Law,Medium
10,LO1,Remembering,Which method is used for metal casting?,Drilling,Turning,Sand casting,Brazing,Sand casting,Medium
11,LO1,Creating,Which instrument is used to measure the rotational speed of a shaft?,Manometer,Tachometer,Barometer,Calorimeter,Tachometer,Medium
12,LO1,Analyzing,"What component is used to transmit motion between non-parallel, non-intersecting shafts?",Spur gear,Bevel gear,Worm gear,Helical gear,Worm gear,Medium
13,LO1,Evaluating,Which welding process uses a non-consumable electrode?,MIG,TIG,Gas welding,Arc welding,TIG,Medium
14,LO1,Evaluating,Which fluid property resists the motion of one layer over another?,Viscosity,Density,Pressure,Entropy,Viscosity,Medium
15,LO1,Applying,What does CAD stand for?,Computer Aided Drawing,Central Aided Design,Computer Aided Design,Controlled Assisted Design,Computer Aided Design,Medium
16,LO1,Applying,What is the typical angle of twist per unit length called?,Stress,Strain,Shear modulus,Torsion,Torsion,Medium
17,LO1,Remembering,What is the purpose of a Mollier diagram?,Plot pressure vs volume,Analyze heat transfer,Plot enthalpy vs entropy,Determine flow velocity,Plot enthalpy vs entropy,Hard
18,LO1,Analyzing,Which process improves fatigue strength by inducing compressive stress?,Annealing,Peening,Normalizing,Tempering,Peening,Hard
19,LO1,Creating,What is the function of an intercooler in a gas turbine?,Compress gas,Cool exhaust,Reduce pressure,Cool air between stages,Cool air between stages,Hard
20,LO1,Creating,Which analysis is used in finite element methods?,Numerical analysis,Stress analysis,Matrix analysis,Both A and C,Both A and C,Hard
21,LO1,Creating,Which mode of heat transfer occurs without a medium?,Conduction,Convection,Radiation,Boiling,Radiation,Hard
22,LO1,Applying,What does the Knudsen number indicate?,Turbulence,Flow velocity,Molecular mean free path to characteristic length ratio,Reynolds stress,Molecular mean free path to characteristic length ratio,Hard
23,LO1,Applying,What is creep in materials?,Sudden fracture,Slow deformation under constant stress,Thermal expansion,Plastic deformation,Slow deformation under constant stress,Hard
24,LO1,Evaluating,What is Reynolds number used for?,Predict fluid compressibility,Indicate laminar or turbulent flow,Measure temperature gradient,Measure fluid density,Indicate laminar or turbulent flow,Hard
25,LO2,Remembering,What is the SI unit of pressure?,Pascal,Bar,Newton,Joule,Pascal,Easy
26,LO2,Remembering,Which cycle is used in steam power plants?,Otto,Rankine,Diesel,Carnot,Rankine,Easy
27,LO2,Analyzing,Which unit is used to measure force?,Joule,Watt,Newton,Pascal,Newton,Easy
28,LO2,Evaluating,What kind of engine uses spark plugs?,Diesel,Steam,Petrol,Jet,Petrol,Easy
29,LO2,Analyzing,Which process increases the hardness of metals?,Tempering,Annealing,Hardening,Quenching,Hardening,Easy
30,LO2,Creating,What does a thermodynamic system exchange with its surroundings?,Energy and matter,Energy only,Matter only,Nothing,Energy and matter,Easy
